"","feature","anovas.Timepoint DenDF","anovas.Timepoint F value","anovas.Timepoint Mean Sq","anovas.Timepoint NumDF","anovas.Timepoint Pr(>F)","anovas.Timepoint Sum Sq","anovas.Treatment DenDF","anovas.Treatment F value","anovas.Treatment Mean Sq","anovas.Treatment NumDF","anovas.Treatment Pr(>F)","anovas.Treatment Sum Sq","anovas.Treatment:Timepoint DenDF","anovas.Treatment:Timepoint F value","anovas.Treatment:Timepoint Mean Sq","anovas.Treatment:Timepoint NumDF","anovas.Treatment:Timepoint Pr(>F)","anovas.Treatment:Timepoint Sum Sq","coefs.(Intercept) 2.5 %","coefs.(Intercept) 97.5 %","coefs.(Intercept) df","coefs.(Intercept) Estimate","coefs.(Intercept) Pr(>|t|)","coefs.(Intercept) Std. Error","coefs.(Intercept) t value","coefs.TimepointD42 2.5 %","coefs.TimepointD42 97.5 %","coefs.TimepointD42 df","coefs.TimepointD42 Estimate","coefs.TimepointD42 Pr(>|t|)","coefs.TimepointD42 Std. Error","coefs.TimepointD42 t value","coefs.TreatmentDNBS + FMTDNBS 2.5 %","coefs.TreatmentDNBS + FMTDNBS 97.5 %","coefs.TreatmentDNBS + FMTDNBS df","coefs.TreatmentDNBS + FMTDNBS Estimate","coefs.TreatmentDNBS + FMTDNBS Pr(>|t|)","coefs.TreatmentDNBS + FMTDNBS Std. Error","coefs.TreatmentDNBS + FMTDNBS t value","coefs.TreatmentDNBS + FMTDNBS:TimepointD42 2.5 %","coefs.TreatmentDNBS + FMTDNBS:TimepointD42 97.5 %","coefs.TreatmentDNBS + FMTDNBS:TimepointD42 df","coefs.TreatmentDNBS + FMTDNBS:TimepointD42 Estimate","coefs.TreatmentDNBS + FMTDNBS:TimepointD42 Pr(>|t|)","coefs.TreatmentDNBS + FMTDNBS:TimepointD42 Std. Error","coefs.TreatmentDNBS + FMTDNBS:TimepointD42 t value","anovas.Timepoint Pr(>F).BH","anovas.Treatment Pr(>F).BH","anovas.Treatment:Timepoint Pr(>F).BH","coefs.(Intercept) Pr(>|t|).BH","coefs.TimepointD42 Pr(>|t|).BH","coefs.TreatmentDNBS + FMTDNBS Pr(>|t|).BH","coefs.TreatmentDNBS + FMTDNBS:TimepointD42 Pr(>|t|).BH"
"16","Kynurenine synthesis",12.1433796843759,12.2622578317888,1.53978899982977,1,0.00429430744118778,1.53978899982977,12.6645745749545,2.07329050053838,0.260346010496082,1,0.174156767742848,0.260346010496082,12.1433796827932,0.12161020537992,0.0152707649015176,1,0.733266329294459,0.0152707649015176,-1.128172379608,-0.49595492821375,27.6793659685629,-0.812063653910874,2.59694102849097e-05,0.161282925701977,-5.03502556378117,-0.79406892112722,-0.0340627956469145,13.1187929207797,-0.414065858387067,0.0521236692651967,0.19388267628261,-2.13565165452695,-0.645157976136888,0.223091460078387,27.0146310030605,-0.211033258029251,0.349158345737785,0.221496273162139,-0.952762116565144,-0.606370193750225,0.423186365887674,12.1433796827932,-0.0915919139312755,0.733266329294459,0.262646805696153,-0.34872654814327,0.0415116385981486,0.864535230757375,0.868982009229386,8.36792109180422e-05,0.293727410409113,0.622306359097427,0.868982009229386
"17","Tryptophan synthesis",29.9999999999564,4.51691079278127,0.676287441228666,1,0.0419097197194235,0.676287441228666,29.9999999999564,0.024045803183054,0.00360022047212992,1,0.877807049489871,0.00360022047212992,29.9999999999564,5.44752327946728,0.815621947989823,1,0.0264843259215624,0.815621947989823,0.374436737928659,0.947726216313974,30.0000000003485,0.661081477121316,8.99499185345224e-05,0.146250003292752,4.52021512640937,-0.434928691779905,0.375825063718405,30.0000000000673,-0.0295518140307499,0.887339831607333,0.206828738153719,-0.142880599159225,-0.744970208656725,0.0400387395732946,29.9999999999549,-0.352465734541715,0.0885967951175213,0.200261064596612,-1.76003126344949,0.10592947049347,1.2160997716646,29.9999999999564,0.661014621079036,0.0264843259215624,0.283211913567804,2.33399299044947,0.147939657832035,0.920800092960488,0.153609090345062,0.000200657510577011,0.959074407084899,0.569764603928555,0.153609090345062
"18","Tryptophan degradation",15.6970788214174,0.693870552701677,0.169060201812396,1,0.417345654634098,0.169060201812396,15.9432663647851,0.639096366475608,0.155714578566917,1,0.435787524032357,0.155714578566917,15.697078821425,12.3866116282492,3.0179736746141,1,0.00291625664982977,3.0179736746141,-1.14998035810751,-0.358196214276111,29.6679817947624,-0.754088286191811,0.000800156457303058,0.201989462581173,-3.73330507718326,0.268061327141804,1.31351378045051,16.7866574446502,0.790787553796157,0.00876627619539465,0.266701955126498,2.96506095510655,-0.0699012266866174,1.01498552350646,29.5533776579358,0.472542148409922,0.0982352765394061,0.276761909593882,1.7073958952781,-1.99109052636098,-0.566683718748665,15.697078821425,-1.27888712255482,0.00291625664982977,0.363375760689444,-3.51946183787369,0.605151199219442,0.864535230757375,0.0845714428450633,0.00150481502119359,0.084740669888815,0.569764603928555,0.0845714428450633
"19","Nitric oxide degradation I (NO dioxygenase)",15.5550081510005,6.53621370421409,2.31194373671191,1,0.0214571767745953,2.31194373671191,16.0222537547582,0.229392535829466,0.0811391212801793,1,0.638445675922864,0.0811391212801793,15.5550081515031,5.02560963520454,1.77762344456074,1,0.0399388665039158,1.77762344456074,-0.85502685125857,0.178161112958909,28.8337316317761,-0.338432869149831,0.209357742905801,0.263573201438173,-1.2840185091018,-1.69180544493812,-0.41999776581675,16.5788736334333,-1.05590160537744,0.00479039963418038,0.324446696253918,-3.2544686617831,-1.33978780888511,0.0781554523276309,28.4711400981762,-0.630816178278739,0.0919660012315834,0.361726866513185,-1.74390192345789,0.124032264411061,1.84921882940313,15.5550081515031,0.986625546907096,0.0399388665039158,0.440106700582286,2.24178715207411,0.123088534745322,0.864535230757375,0.193037854768926,0.242854981770729,0.084740669888815,0.569764603928555,0.193037854768926
"20","Glutamate synthesis I",30.0000000000502,13.4817352445548,1.15494424199255,1,0.000932993264922431,1.15494424199255,30.0000000000502,0.459605344200553,0.0393731620035949,1,0.503004217252915,0.0393731620035949,30.0000000000502,0.365404742503166,0.0313032481127571,1,0.550064636826827,0.0313032481127571,0.688041484362365,1.12168881620511,29.9999999998758,0.904865150283739,3.94472452946885e-09,0.110626352132821,8.17947200498245,0.151407595298186,0.764677533277109,29.9999999998343,0.458042564287647,0.00645875492258021,0.156449287542097,2.9277382561707,-0.159532549469237,0.434263514661268,29.9999999997867,0.137365482596016,0.371731463648993,0.151481371294139,0.906814358904144,-0.549374703113311,0.290379744063814,30.0000000000502,-0.129497479524749,0.550064636826827,0.214227009731046,-0.604487173150238,0.0255987441318216,0.864535230757375,0.806419828204162,3.81323371181988e-08,0.084740669888815,0.622306359097427,0.806419828204162
"21","Glutamate synthesis II",29.9999999992063,2.04601033209221,0.335151429830494,1,0.162939411714549,0.335151429830494,29.9999999992063,5.56518252445113e-06,9.11617527576305e-07,1,0.998133358572219,9.11617527576305e-07,29.9999999992063,3.87887858737527,0.635388631380148,1,0.0581924716136379,0.635388631380148,0.615584767366225,1.21523180659846,29.999999999027,0.915408286982343,1.45774469276926e-06,0.152973994410656,5.98407781995247,-0.503863865668479,0.344165109850621,29.9999999990257,-0.0798493779089293,0.71464876412691,0.216337897585936,-0.369095654529094,-0.701914218791698,0.119186306030005,29.9999999988872,-0.291363956380847,0.174466213533625,0.209468268625964,-1.39096942124976,0.00282099588802132,1.16403249416254,29.9999999992063,0.58342674502528,0.0581924716136379,0.296232866377649,1.96948688428618,0.315016195981462,0.998133358572219,0.241083096685071,7.04576601505144e-06,0.942037007258199,0.581226349180901,0.241083096685071
"22","ClpB (ATP-dependent chaperone protein)",29.9999999995183,0.850282910322855,0.0867441773888298,1,0.363829121490815,0.0867441773888298,29.9999999995183,0.825177602805449,0.0841829836705366,1,0.370910687803284,0.0841829836705366,29.9999999995183,2.88895003525729,0.294724957168281,1,0.0995366317921182,0.294724957168281,0.817155955606891,1.29038076822842,29.9999999995084,1.05376836191766,9.81912156593652e-10,0.120722833775077,8.72882394295824,-0.425511704333723,0.243729243727113,29.9999999995084,-0.0908912303033048,0.598387659527671,0.170727868812826,-0.532374889555679,-0.41648924833229,0.23150051327763,29.9999999995172,-0.0924943675273302,0.57995234023726,0.16530654816139,-0.559532387289506,-0.0608462590803038,0.855549650067354,29.9999999995183,0.397351695493525,0.0995366317921182,0.233778762358919,1.69969115878659,0.555318132801771,0.864535230757375,0.288656232197143,1.4237726270608e-08,0.932853812965079,0.700775744453356,0.288656232197143
"23","GABA synthesis III",15.1882453658087,0.455746476526869,0.0820880211430063,1,0.50976605173123,0.0820880211430063,15.5986331528826,0.395516155714548,0.0712394724367819,1,0.538515508160211,0.0712394724367819,15.1882453653699,7.51506162323953,1.35359584592008,1,0.0150157210742943,1.35359584592008,-0.732511905979904,-0.0110467400526596,29.0483794847321,-0.371779323016282,0.0526930010586383,0.184050618179229,-2.01998410379824,-0.128622939383134,0.776676092911077,16.2364584134825,0.324026576763971,0.179441799610312,0.230947874408686,1.40302904970917,0.0595062935025004,1.04913522870483,28.7431727208052,0.554320761103663,0.0363414388850306,0.252461000051122,2.19566887951572,-1.47449595080986,-0.245072840821865,15.1882453653699,-0.859784395815861,0.0150157210742943,0.313634107485016,-2.74136127193034,0.671964340918439,0.864535230757375,0.145151970384845,0.0664390013348049,0.400293245284542,0.526950863832943,0.145151970384845
"24","Dopamine degradation",10.4017740582162,5.96420227511756,0.929064819850101,1,0.0338564643574802,0.929064819850101,10.4214884821719,3.33641483821758,0.519725104486455,1,0.0965092460922825,0.519725104486455,10.401774063546,0.0828794046343016,0.0129104171159811,1,0.779087318619449,0.0129104171159811,-1.06246464051623,-0.473813774052183,29.994535181195,-0.768139207284206,1.68362358347182e-05,0.150168796750157,-5.11517188595575,-0.808401454021518,0.0193518253945738,11.4416113152605,-0.394524814313472,0.0875237291184938,0.211165431085802,-1.86832102340258,-0.711829274664313,0.0942181363293605,29.9925710056664,-0.308805569167476,0.143613271034001,0.205628118004125,-1.50176722991396,-0.483268252314438,0.64968058949091,10.401774063546,0.0832061685882361,0.779087318619449,0.289022872548145,0.28788783342528,0.140262495195275,0.864535230757375,0.868982009229386,6.10313549008534e-05,0.31727351805454,0.581226349180901,0.868982009229386
"25","DOPAC synthesis",30.0000000006049,0.000699136857900277,0.00020812666771702,1,0.979080542391032,0.00020812666771702,30.0000000006049,0.86417408690887,0.25725674594801,1,0.359993496523924,0.25725674594801,30.0000000006049,0.393219491647476,0.117057857203751,1,0.535355554518266,0.117057857203751,-1.17030395283622,-0.361930890559794,30.0000000002594,-0.766117421698009,0.000830242770313707,0.206221407294413,-3.71502372983159,-0.702095058522129,0.44111708960627,30.000000000258,-0.13048898445793,0.657778683264966,0.291641111047425,-0.447430007344576,-0.864282556114085,0.242627846606739,30.0000000003016,-0.310827354753673,0.279763702393973,0.282380291539026,-1.10074025725947,-0.532285069968185,1.03312263389147,30.0000000006049,0.250418781961642,0.535355554518266,0.39934603804136,0.627072158246143,0.979080542391032,0.864535230757375,0.806419828204162,0.00150481502119359,0.932853812965079,0.619304890168777,0.806419828204162
